Country ,Year ,Month ,YearMonth,Food Item,Unit of Measurement,Average Price,Currency ,Price in USD,Availability ,Quality 
Australia,2022,12,2022-12,Eggs,Carton of 12,6,AUD,4.03,1,High
Australia,2022,11,2022-11,Eggs,Carton of 12,5.91,AUD,3.97,1,High
Australia,2022,10,2022-10,Eggs,Carton of 12,5.82,AUD,3.91,1,High
Australia,2022,9,2022-9,Eggs,Carton of 12,5.73,AUD,3.85,1,High
Australia,2022,8,2022-8,Eggs,Carton of 12,5.64,AUD,3.79,1,High
Australia,2022,7,2022-7,Eggs,Carton of 12,5.55,AUD,3.72,1,High
Australia,2022,6,2022-6,Eggs,Carton of 12,5.46,AUD,3.66,1,High
Australia,2022,5,2022-5,Eggs,Carton of 12,5.37,AUD,3.6,1,High
Australia,2022,4,2022-4,Eggs,Carton of 12,5.28,AUD,3.54,1,High
Australia,2022,3,2022-3,Eggs,Carton of 12,5.19,AUD,3.48,1,High
Australia,2022,2,2022-2,Eggs,Carton of 12,5.1,AUD,3.42,1,High
Australia,2022,1,2022-1,Eggs,Carton of 12,5.01,AUD,3.36,1,High
Australia,2021,12,2021-12,Eggs,Carton of 12,4.89,AUD,3.28,1,High
Australia,2021,11,2021-11,Eggs,Carton of 12,4.77,AUD,3.2,1,High
Australia,2021,10,2021-10,Eggs,Carton of 12,4.65,AUD,3.12,1,High
Australia,2021,9,2021-9,Eggs,Carton of 12,4.53,AUD,3.04,1,High
Australia,2021,8,2021-8,Eggs,Carton of 12,4.41,AUD,2.96,1,High
Australia,2021,7,2021-7,Eggs,Carton of 12,4.29,AUD,2.88,1,High
Australia,2021,6,2021-6,Eggs,Carton of 12,4.17,AUD,2.8,1,High
Australia,2022,12,2022-12,Potatoes,1 Kg,4.13,AUD,2.77,1,High
Australia,2022,11,2022-11,Potatoes,1 Kg,4.1,AUD,2.75,1,High
Australia,2022,10,2022-10,Potatoes,1 Kg,4.06,AUD,2.73,1,High
Australia,2021,5,2021-5,Eggs,Carton of 12,4.05,AUD,2.72,1,High
Australia,2022,9,2022-9,Potatoes,1 Kg,4.03,AUD,2.7,1,High
Australia,2022,8,2022-8,Potatoes,1 Kg,3.99,AUD,2.68,1,High
Australia,2022,7,2022-7,Potatoes,1 Kg,3.96,AUD,2.66,1,High
Australia,2021,4,2021-4,Eggs,Carton of 12,3.93,AUD,2.64,1,High
Australia,2022,6,2022-6,Potatoes,1 Kg,3.93,AUD,2.63,1,High
Australia,2022,5,2022-5,Potatoes,1 Kg,3.89,AUD,2.61,1,High
Australia,2022,4,2022-4,Potatoes,1 Kg,3.86,AUD,2.59,1,High
Australia,2022,3,2022-3,Potatoes,1 Kg,3.82,AUD,2.57,1,High
Australia,2021,3,2021-3,Eggs,Carton of 12,3.81,AUD,2.56,1,High
Australia,2022,2,2022-2,Potatoes,1 Kg,3.79,AUD,2.54,1,High
Australia,2021,12,2021-12,Potatoes,1 Kg,3.76,AUD,2.52,1,High
Australia,2022,1,2022-1,Potatoes,1 Kg,3.76,AUD,2.52,1,High
Australia,2021,2,2021-2,Potatoes,1 Kg,3.75,AUD,2.51,1,High
Australia,2021,3,2021-3,Potatoes,1 Kg,3.75,AUD,2.51,1,High
Australia,2021,4,2021-4,Potatoes,1 Kg,3.75,AUD,2.51,1,High
Australia,2021,5,2021-5,Potatoes,1 Kg,3.75,AUD,2.52,1,High
Australia,2021,6,2021-6,Potatoes,1 Kg,3.75,AUD,2.52,1,High
Australia,2021,7,2021-7,Potatoes,1 Kg,3.75,AUD,2.52,1,High
Australia,2021,8,2021-8,Potatoes,1 Kg,3.75,AUD,2.52,1,High
Australia,2021,9,2021-9,Potatoes,1 Kg,3.75,AUD,2.52,1,High
Australia,2021,10,2021-10,Potatoes,1 Kg,3.75,AUD,2.52,1,High
Australia,2021,11,2021-11,Potatoes,1 Kg,3.75,AUD,2.52,1,High
Australia,2021,1,2021-1,Potatoes,1 Kg,3.74,AUD,2.51,1,High
Australia,2020,12,2020-12,Potatoes,1 Kg,3.72,AUD,2.5,1,High
Australia,2020,11,2020-11,Potatoes,1 Kg,3.7,AUD,2.49,1,High
Australia,2021,2,2021-2,Eggs,Carton of 12,3.69,AUD,2.48,1,High
Australia,2020,10,2020-10,Potatoes,1 Kg,3.68,AUD,2.47,1,High
Australia,2020,9,2020-9,Potatoes,1 Kg,3.66,AUD,2.46,1,High
Australia,2020,8,2020-8,Potatoes,1 Kg,3.64,AUD,2.45,1,High
Australia,2020,7,2020-7,Potatoes,1 Kg,3.62,AUD,2.43,1,High
Australia,2020,6,2020-6,Potatoes,1 Kg,3.6,AUD,2.42,1,High
Australia,2020,5,2020-5,Potatoes,1 Kg,3.58,AUD,2.41,1,High
Australia,2021,1,2021-1,Eggs,Carton of 12,3.57,AUD,2.4,1,High
Australia,2020,12,2020-12,Eggs,Carton of 12,3.56,AUD,2.39,1,High
Australia,2020,4,2020-4,Potatoes,1 Kg,3.56,AUD,2.39,1,High
Australia,2020,11,2020-11,Eggs,Carton of 12,3.54,AUD,2.38,1,High
Australia,2020,3,2020-3,Potatoes,1 Kg,3.54,AUD,2.38,1,High
Australia,2020,10,2020-10,Eggs,Carton of 12,3.53,AUD,2.37,1,High
